mae,rmse,r2,mape,smape,max_abs_error,model,horizon,split,rank
0.0970235186303837,0.12733460802233365,0.9255098507026739,3.0294522236449692,3.0079782697034094,0.5973274825134527,HistoricalLinear,100,test,3.0
0.07815733397391683,0.13040901060615306,0.9218694047206515,2.866761922851164,2.7508676439301367,0.30211999931867917,Ridge,100,test,4.0
0.08984951438628078,0.13374680373568307,0.917818747214246,3.1836103500964885,3.0700761197728266,0.30675825968114934,LinearRegression,100,test,5.0
0.11171575364882703,0.1730319090349817,0.8624507166937205,4.058403353805174,3.8523301090739253,0.4327435059882676,WeightedEnsemble,100,test,6.0
0.2419991991329529,0.301149973586386,0.5833498024623736,8.363596731673233,7.780678355555273,0.6416864438539238,LastValue,100,test,7.0
0.2942134066699233,0.4617909860670934,0.020291589992613823,10.853781733033387,9.454631869164992,1.3458622635655924,RandomForest,100,test,8.0
0.3041239832193597,0.46670583308403985,-0.0006734819827369787,11.140434341571023,9.722427936258454,1.3554083887739847,ExtraTrees,100,test,9.0
0.30463681997259967,0.4701397761832992,-0.01545323080935801,11.196911297010637,9.754666807070665,1.3506171533679074,HistGradientBoosting,100,test,10.0
0.06467093509286753,0.07195762901993778,0.9762119072398427,2.0580927744840136,2.0491773131675295,0.14903529636651314,ElasticNet,100,test_final,1.0
0.03933739253312177,0.06848416874323617,0.936989168423388,1.1883460644229409,1.167132940503022,0.20698601787262216,ElasticNet,100,validation,1.0
0.04067850301793968,0.06924430772215534,0.9355826300654836,1.2271586305885362,1.2054880299397732,0.2077735150007154,Lasso,100,validation,2.0
0.040851403569507255,0.07390751276632854,0.9266142042255922,1.2373816985208297,1.2124488308643586,0.22708874843668125,Ridge,100,validation,3.0
0.04574213980281263,0.0753434600139216,0.9237348805402426,1.3640366824610561,1.3397762494195453,0.22887844077614528,LinearRegression,100,validation,4.0
0.05064567087884277,0.0805841157940489,0.9127563706900785,1.5141819994334538,1.4869525116509428,0.28059743616450117,WeightedEnsemble,100,validation,5.0
0.0929604187175705,0.12338448236577654,0.7954705169420203,2.6529991342825983,2.6371433332215726,0.6636971260870816,HistoricalLinear,100,validation,6.0
0.07876759166702561,0.13126520127516064,0.7685090317399185,2.3795702169862847,2.3015739716309622,0.5217926846866758,ExtraTrees,100,validation,7.0
0.084942066789262,0.1315553909241141,0.7674843803335574,2.531291574195681,2.4584140396533276,0.5223067007348732,RandomForest,100,validation,8.0
0.08299992893984569,0.13598630949887036,0.7515578898637436,2.5100655546841155,2.4254395152929638,0.5257218652414806,HistGradientBoosting,100,validation,9.0
0.1726650521419073,0.1931800602435741,0.49862874832721515,5.01455864336461,4.852860432310982,0.45435594321999817,LastValue,100,validation,10.0
